K,Success,Steps
0,True,17
0,True,32
0,True,26
0,True,19
0,True,30
0,True,6
0,True,28
0,True,7
0,True,15
0,True,23
0,True,46
0,True,14
0,True,31
0,True,8
0,True,26
0,True,35
0,True,6
0,True,30
0,True,17
0,True,17
0,True,45
0,True,8
0,True,31
0,True,36
0,True,33
0,True,32
0,True,15
0,True,10
0,True,25
0,True,35
0,True,16
0,True,27
0,True,50
0,True,26
0,True,17
0,True,26
0,True,29
0,True,43
0,True,17
0,True,22
0,True,21
0,True,8
0,True,18
0,True,13
0,True,24
0,True,17
0,True,34
0,True,28
0,True,3
0,True,8
0,True,24
0,True,29
0,True,23
0,True,19
0,True,11
0,True,30
0,True,21
0,True,8
0,True,25
0,True,11
0,True,23
0,True,37
0,True,13
0,True,31
0,True,28
0,True,17
0,True,17
0,True,22
0,True,32
0,True,21
0,True,8
0,True,34
0,True,15
0,True,14
0,True,27
0,True,30
0,True,14
0,True,36
0,True,26
0,True,17
0,True,28
0,True,33
0,True,32
0,True,16
0,True,34
0,True,5
0,True,17
0,True,41
0,True,30
0,True,18
0,True,23
0,True,9
0,True,12
0,True,34
0,True,42
0,True,42
0,True,38
0,True,29
0,True,8
0,True,27
20,True,30
20,True,46
20,False,16
20,True,19
20,False,31
20,True,18
20,True,26
20,False,28
20,False,38
20,True,20
20,True,19
20,False,26
20,False,27
20,False,20
20,False,39
20,False,31
20,True,11
20,False,17
20,False,46
20,False,33
20,True,13
20,False,27
20,False,37
20,True,6
20,False,28
20,False,0
20,True,24
20,True,12
20,False,28
20,True,10
20,False,39
20,True,39
20,True,5
20,True,4
20,False,10
20,False,31
20,False,0
20,True,19
20,False,34
20,False,36
20,True,30
20,False,12
20,False,34
20,False,11
20,True,24
20,False,28
20,False,21
20,True,33
20,True,19
20,True,24
20,True,18
20,False,16
20,True,25
20,True,2
20,False,29
20,True,18
20,False,18
20,True,36
20,True,22
20,False,29
20,False,6
20,False,11
20,True,38
20,True,11
20,True,14
20,False,37
20,True,16
20,False,30
